id;goods_id;name;province_code;rate;status;stack;price
1;4077;Kentucky Algerian Dinar Clothing;open-s;9617;17436;94052;69093
2;39757;Cambridgeshire hacking;bricks;87733;69578;25794;22855
3;65998;parsing;Border;99625;9310;96541;89721
4;55829;THX pink even-keeled;bus In;77987;88777;64203;85092
5;8413;Cheese Dynamic Home Loan Account;transf;94013;66350;97366;506
6;28392;knowledge user;Cayman;22426;17592;71217;1807
7;23724;circuit navigate;progra;30806;56830;54254;9367
8;50881;withdrawal Ergonomic;Strate;89204;90609;63113;43439
9;79481;Borders North Dakota;CSS Re;49919;28077;57200;2431
10;76855;Intelligent Frozen Sausages Villages;Human;37015;74771;1545;95307
